Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
42,3,1.9711,0.679795,0.6937,0.6699,0.6937,0.6771,0.8873,-0.010267,1.7734,4.9842
42,4,2.1235,0.715108,0.6796,0.6617,0.6796,0.6632,0.8772,-0.01893,1.8584,5.4097
43,1,2.1238,0.725991,0.6585,0.6399,0.6585,0.6467,0.8693,-0.024495,1.8577,5.3855
43,2,1.9883,0.680581,0.6989,0.6959,0.6989,0.6904,0.8801,-0.012282,1.7868,5.0396
43,3,1.9863,0.729321,0.6884,0.6689,0.6884,0.671,0.8826,-0.021371,1.7603,4.9192
43,4,2.1578,0.757224,0.6866,0.6798,0.6866,0.6795,0.8703,-0.020367,1.8559,5.4259
44,1,2.0741,0.678511,0.6989,0.687,0.6989,0.6868,0.8861,-0.035223,1.8551,5.3305
44,2,1.9498,0.649536,0.706,0.6918,0.706,0.6888,0.8956,-0.014,1.774,4.9838
44,3,1.9632,0.690805,0.6778,0.6695,0.6778,0.6649,0.8826,-0.008607,1.7617,4.9321
44,4,2.0742,0.658343,0.6901,0.6779,0.6901,0.6783,0.8936,-0.022963,1.8492,5.3777
45,1,2.1196,0.728291,0.6884,0.6717,0.6884,0.6754,0.8713,-0.035499,1.8661,5.3659
45,2,2.0329,0.746106,0.6796,0.661,0.6796,0.6492,0.8679,-0.017623,1.7925,5.0355
45,3,1.9739,0.697915,0.6796,0.6691,0.6796,0.6706,0.8779,-0.012975,1.7663,4.9511
45,4,2.111,0.682134,0.6884,0.671,0.6884,0.6693,0.8859,-0.037729,1.8585,5.445
46,1,2.0538,0.670272,0.706,0.7044,0.706,0.6992,0.8901,-0.008832,1.8426,5.282
46,2,1.991,0.67127,0.6989,0.6875,0.6989,0.6896,0.8845,-0.019148,1.797,5.0705
46,3,2.0052,0.718082,0.6655,0.6525,0.6655,0.6477,0.8767,-0.017562,1.7773,5.0085
46,4,2.1001,0.677644,0.6866,0.6903,0.6866,0.6805,0.8867,-0.030037,1.8559,5.4192
47,1,2.1001,0.654967,0.7113,0.7063,0.7113,0.7041,0.8927,-0.061602,1.8544,5.472
47,2,1.9612,0.641983,0.7077,0.6909,0.7077,0.6904,0.8984,-0.011461,1.7764,5.0394
47,3,1.9338,0.643582,0.7095,0.7087,0.7095,0.7028,0.8944,-0.017184,1.7654,4.9444
47,4,2.1105,0.691353,0.6937,0.6823,0.6937,0.6844,0.8882,-0.015341,1.8488,5.422
48,1,2.093,0.699409,0.6831,0.6754,0.6831,0.6742,0.8804,-0.035864,1.8641,5.3448
48,2,1.9526,0.643149,0.7236,0.7135,0.7236,0.715,0.8973,-0.013969,1.7761,5.008
48,3,1.9251,0.651531,0.6954,0.6806,0.6954,0.6744,0.8955,0.002357,1.7582,4.8969
48,4,2.0876,0.670326,0.7165,0.7159,0.7165,0.7093,0.8893,-0.012811,1.8482,5.3947
49,1,2.0494,0.65084,0.7113,0.712,0.7113,0.705,0.8921,-0.014649,1.8483,5.3128
49,2,1.9897,0.691296,0.7007,0.6853,0.7007,0.6883,0.8804,-0.011646,1.7815,5.0194
49,3,1.9415,0.637375,0.7077,0.6952,0.7077,0.6989,0.9012,-0.004171,1.769,4.9843
49,4,2.1028,0.668364,0.6884,0.6833,0.6884,0.6797,0.8891,-0.040907,1.8643,5.45
50,1,2.0455,0.648187,0.7095,0.688,0.7095,0.6902,0.8883,-0.028117,1.8467,5.3058
50,2,2.0549,0.69374,0.7324,0.7198,0.7324,0.7212,0.8812,-0.036139,1.8263,5.2311
50,3,1.9685,0.646229,0.7077,0.6968,0.7077,0.689,0.8902,-0.024142,1.787,5.0537
50,4,2.0477,0.611649,0.706,0.6971,0.706,0.6951,0.9052,-0.029576,1.85,5.3986
51,1,2.0322,0.627901,0.7148,0.7057,0.7148,0.7047,0.8953,-0.017809,1.8457,5.3089
51,2,2.0047,0.670168,0.7007,0.6874,0.7007,0.6869,0.8846,-0.022586,1.8025,5.1186
51,3,1.9046,0.599809,0.7218,0.714,0.7218,0.7153,0.9054,-0.035714,1.7608,4.9491
51,4,2.0748,0.657267,0.7218,0.7302,0.7218,0.7154,0.8936,-0.013509,1.848,5.3823
52,1,2.067,0.671261,0.7201,0.708,0.7201,0.7093,0.8951,-0.027804,1.8518,5.3237
