Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
21,3,2.3217,1.215812,0.4313,0.3064,0.4313,0.3578,0.5934,-0.002285,1.7513,4.9022
21,4,2.4707,1.209948,0.4489,0.3258,0.4489,0.3776,0.5974,-0.022839,1.8536,5.4125
22,1,2.445,1.202253,0.4577,0.3331,0.4577,0.3827,0.592,-0.018883,1.8528,5.3447
22,2,2.3596,1.200332,0.4613,0.3362,0.4613,0.3887,0.6055,-0.018994,1.7885,5.0645
22,3,2.3368,1.214065,0.4296,0.3041,0.4296,0.3555,0.5884,-0.016626,1.7613,4.9566
22,4,2.4655,1.211914,0.419,0.3045,0.419,0.3527,0.5848,-0.028801,1.8489,5.3906
23,1,2.4446,1.203849,0.4648,0.3403,0.4648,0.3908,0.5779,-0.026053,1.8539,5.3396
23,2,2.3489,1.199089,0.4437,0.3216,0.4437,0.3721,0.6065,-0.025242,1.784,5.0319
23,3,2.3298,1.213769,0.4155,0.2988,0.4155,0.3473,0.5899,0.003023,1.764,4.934
23,4,2.4559,1.198008,0.4401,0.3183,0.4401,0.3693,0.6066,-0.023937,1.8494,5.391
24,1,2.4271,1.19972,0.4789,0.3506,0.4789,0.4034,0.589,-0.006444,1.8479,5.291
24,2,2.3519,1.18871,0.4595,0.3384,0.4595,0.3895,0.5975,-0.022792,1.7948,5.0659
24,3,2.3362,1.204734,0.4349,0.3115,0.4349,0.3628,0.5982,-0.029864,1.7747,4.9761
24,4,2.449,1.18753,0.4401,0.3228,0.4401,0.3722,0.6141,-0.011872,1.8521,5.3926
25,1,2.4328,1.178889,0.4912,0.36,0.4912,0.4145,0.6188,-0.002773,1.8617,5.3585
25,2,2.3563,1.186646,0.4313,0.3163,0.4313,0.365,0.6093,-0.017102,1.7941,5.0856
25,3,2.3145,1.196326,0.4437,0.3176,0.4437,0.37,0.6035,-0.016786,1.7565,4.9235
25,4,2.4289,1.18177,0.4419,0.3341,0.4419,0.3767,0.6133,0.006857,1.8446,5.3387
26,1,2.413,1.170243,0.4806,0.3522,0.4806,0.406,0.6247,-0.021649,1.849,5.3127
26,2,2.3412,1.177102,0.4701,0.3432,0.4701,0.3964,0.625,-0.028984,1.784,5.0573
26,3,2.3133,1.18833,0.4401,0.3204,0.4401,0.3684,0.609,-0.021319,1.7585,4.9381
26,4,2.4399,1.171797,0.4595,0.3459,0.4595,0.3915,0.6249,-0.018058,1.8498,5.3986
27,1,2.408,1.155882,0.4982,0.3694,0.4982,0.424,0.634,-0.04572,1.8569,5.3296
27,2,2.3298,1.158445,0.4665,0.3455,0.4665,0.3961,0.6283,-0.031996,1.7934,5.0629
27,3,2.3002,1.170217,0.456,0.3325,0.456,0.3821,0.6271,-0.007135,1.7606,4.9369
27,4,2.4311,1.162945,0.4665,0.3575,0.4665,0.3993,0.623,-0.02547,1.8454,5.3901
28,1,2.3955,1.158858,0.4754,0.3522,0.4754,0.4045,0.6269,-0.005571,1.843,5.2811
28,2,2.3227,1.150656,0.463,0.3491,0.463,0.3942,0.6248,-0.013138,1.7911,5.0575
28,3,2.306,1.17031,0.4507,0.3318,0.4507,0.3786,0.616,-0.009772,1.7691,4.9558
28,4,2.4377,1.149657,0.4754,0.3606,0.4754,0.4044,0.6387,-0.006389,1.8558,5.4432
29,1,2.4009,1.158489,0.4859,0.3616,0.4859,0.4139,0.6128,-0.014519,1.8444,5.2999
29,2,2.3339,1.172646,0.456,0.3383,0.456,0.3874,0.6294,-0.0159,1.7882,5.0435
29,3,2.3179,1.171987,0.4542,0.3296,0.4542,0.3805,0.6298,-0.019631,1.7748,4.9916
29,4,2.4321,1.153563,0.5,0.3802,0.5,0.4262,0.6342,-0.007979,1.8528,5.4153
30,1,2.385,1.151276,0.4736,0.349,0.4736,0.4018,0.6356,-0.015873,1.8361,5.2638
30,2,2.3002,1.143495,0.4859,0.3601,0.4859,0.4125,0.624,-0.010341,1.775,4.9991
30,3,2.2971,1.164301,0.4683,0.3441,0.4683,0.3907,0.645,-0.017511,1.7568,4.9402
30,4,2.4383,1.177784,0.456,0.3419,0.456,0.3877,0.6103,-0.019154,1.8467,5.3793
31,1,2.3973,1.158128,0.4877,0.3589,0.4877,0.4133,0.6201,-0.023317,1.8478,5.2886
31,2,2.2908,1.127729,0.5,0.3767,0.5,0.4248,0.6499,-0.013396,1.7845,5.0047
31,3,2.3077,1.159529,0.4454,0.3223,0.4454,0.3729,0.6414,-0.042003,1.7765,4.9867
31,4,2.4279,1.144209,0.4701,0.3617,0.4701,0.4022,0.6341,-0.01393,1.856,5.423
32,1,2.4021,1.14259,0.4947,0.3805,0.4947,0.422,0.6288,-0.015449,1.8583,5.3411
32,2,2.3138,1.138214,0.4982,0.3831,0.4982,0.4256,0.6415,-0.033339,1.788,5.0568
32,3,2.2819,1.137067,0.4736,0.343,0.4736,0.3963,0.6568,2.4e-05,1.7704,4.9531
32,4,2.4083,1.127528,0.5018,0.3819,0.5018,0.4281,0.6466,-0.031377,1.8527,5.3968
33,1,2.3943,1.137055,0.4912,0.3735,0.4912,0.4207,0.6461,-0.003879,1.8486,5.3279
33,2,2.3027,1.125793,0.4701,0.3489,0.4701,0.3998,0.6656,-0.009594,1.7857,5.0488
33,3,2.2876,1.135081,0.4912,0.3678,0.4912,0.4138,0.6753,-0.02252,1.7677,4.9767
33,4,2.4305,1.137331,0.4859,0.373,0.4859,0.4148,0.6419,-0.003892,1.8587,5.4477
34,1,2.3972,1.128814,0.5,0.3737,0.5,0.4268,0.6488,-0.021235,1.8568,5.3568
34,2,2.283,1.115167,0.5053,0.3781,0.5053,0.4301,0.655,-0.004586,1.7798,5.0081
34,3,2.3561,1.16019,0.4859,0.3591,0.4859,0.4086,0.635,-0.074919,1.7928,5.1464
34,4,2.4398,1.134942,0.4947,0.3924,0.4947,0.4238,0.6496,-0.040394,1.8687,5.4843
35,1,2.3808,1.125112,0.4877,0.3681,0.4877,0.4174,0.6517,-0.028738,1.8488,5.3108
35,2,2.3112,1.132145,0.4982,0.3781,0.4982,0.4243,0.6437,-0.001754,1.7858,5.0623
35,3,2.2614,1.130648,0.4824,0.3494,0.4824,0.4031,0.6593,-0.00273,1.7536,4.8999
35,4,2.4289,1.139858,0.4806,0.3811,0.4806,0.4114,0.6494,-0.015846,1.8538,5.4368
36,1,2.3632,1.136476,0.4912,0.365,0.4912,0.4184,0.6464,-0.009023,1.8284,5.2256
36,2,2.3202,1.12705,0.5035,0.3808,0.5035,0.4299,0.6611,-0.018005,1.7979,5.1042
36,3,2.2728,1.140072,0.4842,0.3629,0.4842,0.4062,0.6486,-0.007546,1.7614,4.9159
36,4,2.4054,1.132183,0.5,0.3947,0.5,0.4286,0.6477,-0.008066,1.8451,5.3762
37,1,2.3752,1.107324,0.5088,0.3854,0.5088,0.4357,0.6719,-0.015478,1.8513,5.3335
37,2,2.2776,1.106754,0.4894,0.3624,0.4894,0.4153,0.672,-0.000832,1.7789,5.0097
37,3,2.2826,1.12801,0.5035,0.3769,0.5035,0.4247,0.6674,-0.014751,1.7626,4.9765
37,4,2.402,1.121154,0.507,0.3892,0.507,0.4346,0.6689,-0.019187,1.8503,5.3907
