Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
26,2,2.3637,1.193874,0.4525,0.3281,0.4525,0.3791,0.5859,-0.027754,1.797,5.0933
26,3,2.3333,1.2195,0.4261,0.3041,0.4261,0.3549,0.5704,-0.005135,1.7616,4.932
26,4,2.4668,1.194923,0.4577,0.3332,0.4577,0.3856,0.5912,-0.024526,1.8583,5.4344
27,1,2.434,1.191774,0.4507,0.3286,0.4507,0.3781,0.587,-0.008174,1.8542,5.3324
27,2,2.3613,1.204404,0.4331,0.3173,0.4331,0.3662,0.573,-0.007532,1.7896,5.0607
27,3,2.3422,1.199835,0.4489,0.3207,0.4489,0.3741,0.6057,-0.027615,1.7754,5.0077
27,4,2.4474,1.18813,0.4331,0.31,0.4331,0.3602,0.6062,-0.013567,1.8437,5.3857
28,1,2.4214,1.184944,0.4701,0.3449,0.4701,0.3957,0.5904,-0.026696,1.8495,5.3065
28,2,2.3572,1.187305,0.4278,0.3163,0.4278,0.3628,0.5785,-0.029977,1.7986,5.0871
28,3,2.3257,1.208726,0.4243,0.3048,0.4243,0.3541,0.5804,-0.007271,1.7614,4.9318
28,4,2.4581,1.188356,0.4613,0.3381,0.4613,0.3899,0.5964,-0.027038,1.8489,5.4207
29,1,2.4801,1.183648,0.4718,0.3485,0.4718,0.4009,0.5922,-0.054816,1.8928,5.5052
29,2,2.3625,1.19467,0.4613,0.3366,0.4613,0.3887,0.5775,-0.020373,1.7935,5.0874
29,3,2.3436,1.187813,0.4366,0.3137,0.4366,0.3647,0.5936,-0.039607,1.7819,5.0406
29,4,2.4614,1.180315,0.4507,0.3379,0.4507,0.3835,0.6131,-0.0204,1.8584,5.4508
30,1,2.4268,1.180128,0.4754,0.3487,0.4754,0.4011,0.5947,-0.022391,1.8536,5.3358
30,2,2.347,1.174404,0.4859,0.3545,0.4859,0.4094,0.5908,-0.036479,1.7942,5.083
30,3,2.3196,1.195773,0.4313,0.3098,0.4313,0.36,0.6079,-0.033384,1.7609,4.9418
30,4,2.4496,1.173667,0.4683,0.3467,0.4683,0.3971,0.6171,-0.014269,1.8537,5.4267
31,1,2.4293,1.177442,0.4577,0.3373,0.4577,0.3884,0.6074,-0.021182,1.8592,5.3503
31,2,2.3264,1.169502,0.4577,0.3344,0.4577,0.386,0.6056,-0.006773,1.7837,5.0259
31,3,2.321,1.186334,0.4419,0.3162,0.4419,0.3685,0.5884,-0.002218,1.7681,4.9686
31,4,2.4485,1.188516,0.4577,0.3419,0.4577,0.3876,0.5821,-0.025387,1.8515,5.3886
32,1,2.4583,1.189098,0.419,0.3093,0.419,0.3559,0.5826,-0.027343,1.8631,5.4197
32,2,2.3288,1.166884,0.4525,0.3312,0.4525,0.3825,0.6171,0.009094,1.7844,5.0401
32,3,2.3086,1.169149,0.4613,0.3293,0.4613,0.3842,0.6083,-0.042531,1.7661,4.9675
32,4,2.4571,1.172743,0.4771,0.3614,0.4771,0.4052,0.5998,-0.034127,1.8622,5.454
33,1,2.4074,1.139932,0.4912,0.3629,0.4912,0.4174,0.6301,-0.049427,1.8582,5.3648
33,2,2.3329,1.166959,0.4648,0.3417,0.4648,0.3937,0.6243,-0.010359,1.7933,5.0536
33,3,2.31,1.180998,0.4313,0.3093,0.4313,0.36,0.6115,-0.00855,1.7607,4.9445
33,4,2.4249,1.148256,0.5035,0.3783,0.5035,0.4284,0.6352,-0.021028,1.8473,5.4038
34,1,2.4118,1.147516,0.4771,0.3521,0.4771,0.4052,0.6034,-0.025244,1.8632,5.3618
34,2,2.3365,1.147731,0.4894,0.3593,0.4894,0.4144,0.6137,-0.00785,1.802,5.1103
34,3,2.3075,1.178582,0.4701,0.3368,0.4701,0.3921,0.6229,-0.030564,1.7636,4.9417
34,4,2.4267,1.144047,0.4842,0.3718,0.4842,0.4128,0.6423,-0.016935,1.8535,5.4196
35,1,2.3932,1.140537,0.5018,0.3763,0.5018,0.4286,0.6352,-0.022494,1.8507,5.316
35,2,2.3087,1.139477,0.4877,0.3566,0.4877,0.4119,0.6387,-0.005741,1.7876,5.0369
35,3,2.2705,1.134583,0.4912,0.3537,0.4912,0.4102,0.6664,0.00201,1.76,4.921
35,4,2.3986,1.12891,0.5141,0.3918,0.5141,0.4382,0.6588,-0.006899,1.8511,5.3613
36,1,2.3962,1.149111,0.5088,0.3749,0.5088,0.4316,0.6357,-0.018394,1.8523,5.3061
36,2,2.3233,1.132087,0.4806,0.355,0.4806,0.4078,0.649,-0.021992,1.7956,5.1027
36,3,2.297,1.166216,0.4665,0.3342,0.4665,0.3892,0.6262,-0.028111,1.7613,4.9355
36,4,2.4115,1.143094,0.493,0.3653,0.493,0.4184,0.6523,-0.008564,1.8427,5.371
37,1,2.3729,1.103846,0.5106,0.3768,0.5106,0.4336,0.6794,-0.022383,1.8564,5.334
37,2,2.3242,1.123101,0.5123,0.3803,0.5123,0.4354,0.646,-0.025873,1.8041,5.1267
37,3,2.2948,1.139993,0.4824,0.3499,0.4824,0.404,0.6527,-0.023063,1.7712,4.9894
37,4,2.4282,1.138912,0.507,0.3891,0.507,0.4336,0.6657,-0.044596,1.8511,5.4366
38,1,2.3855,1.120276,0.4842,0.3565,0.4842,0.4106,0.6527,-0.024782,1.8571,5.3378
38,2,2.3007,1.113408,0.5035,0.3709,0.5035,0.427,0.6519,-0.023227,1.7975,5.071
38,3,2.287,1.119792,0.5,0.3602,0.5,0.4178,0.6667,-0.008546,1.7725,5.0104
38,4,2.4038,1.103628,0.5018,0.3814,0.5018,0.4285,0.6736,-0.017869,1.8549,5.4375
39,1,2.371,1.094588,0.5264,0.3922,0.5264,0.4487,0.6851,-0.020449,1.8569,5.3492
39,2,2.3126,1.115903,0.5158,0.3767,0.5158,0.4353,0.6601,-0.025636,1.7979,5.1049
39,3,2.2855,1.14109,0.4718,0.3436,0.4718,0.3959,0.6614,-0.0295,1.7619,4.9558
39,4,2.409,1.113299,0.5264,0.3892,0.5264,0.4465,0.6768,-0.022601,1.8522,5.4323
40,1,2.3688,1.102601,0.5053,0.3737,0.5053,0.4296,0.6701,0.00518,1.8549,5.3231
40,2,2.2682,1.075594,0.5194,0.3846,0.5194,0.4411,0.6899,-0.01563,1.787,5.051
40,3,2.294,1.134123,0.4894,0.3503,0.4894,0.4082,0.6611,-0.001897,1.7804,5.0002
40,4,2.4237,1.114476,0.4912,0.3802,0.4912,0.4214,0.6734,-0.047722,1.87,5.4787
41,1,2.3702,1.081752,0.537,0.4025,0.537,0.459,0.688,-0.035014,1.8627,5.3765
41,2,2.2909,1.094534,0.5018,0.3675,0.5018,0.4243,0.6735,-0.019832,1.7908,5.0826
41,3,2.2475,1.074589,0.5246,0.3797,0.5246,0.4394,0.709,-0.007527,1.7705,4.9842
41,4,2.3798,1.10569,0.5141,0.6022,0.5141,0.4448,0.679,-0.014328,1.8406,5.3526
42,1,2.3357,1.066032,0.5511,0.4091,0.5511,0.4693,0.6955,-0.024598,1.851,5.2982
42,2,2.2856,1.088185,0.544,0.4061,0.544,0.463,0.6898,-0.032052,1.7936,5.0797
42,3,2.2439,1.106065,0.5158,0.3755,0.5158,0.4321,0.686,-0.011923,1.7556,4.8989
42,4,2.3754,1.085795,0.5282,0.3909,0.5282,0.4479,0.6934,-0.013654,1.8448,5.3844
43,1,2.3412,1.047694,0.5405,0.4011,0.5405,0.4603,0.7153,-0.028679,1.8584,5.3595
43,2,2.2585,1.077891,0.5158,0.3848,0.5158,0.4394,0.7029,-0.016411,1.7833,5.0131
43,3,2.2472,1.105153,0.4947,0.364,0.4947,0.4158,0.6897,-0.024748,1.7533,4.9121
43,4,2.3771,1.069692,0.544,0.6141,0.544,0.4695,0.7206,-0.021171,1.8544,5.4278
44,1,2.3479,1.058655,0.5599,0.617,0.5599,0.4822,0.7084,-0.018674,1.8589,5.3561
44,2,2.2591,1.062447,0.5493,0.4076,0.5493,0.467,0.7203,-0.016775,1.7885,5.0512
44,3,2.2464,1.076057,0.5194,0.5953,0.5194,0.4373,0.7092,-0.026882,1.7714,4.9773
44,4,2.3612,1.065257,0.5335,0.4032,0.5335,0.456,0.7147,-0.020338,1.8474,5.3852
45,1,2.3435,1.052934,0.5581,0.5152,0.5581,0.4791,0.7093,-0.033211,1.857,5.3549
45,2,2.2391,1.046254,0.5387,0.4024,0.5387,0.4588,0.7156,-0.000506,1.7836,5.0224
45,3,2.2111,1.052759,0.5335,0.4639,0.5335,0.4669,0.7209,-0.020968,1.7583,4.9138
45,4,2.3588,1.058384,0.5317,0.4797,0.5317,0.4676,0.7149,-0.000688,1.8498,5.3933
46,1,2.31,1.012332,0.5405,0.4794,0.5405,0.4741,0.7528,-0.003211,1.8551,5.3378
46,2,2.2267,1.013096,0.5669,0.4223,0.5669,0.4826,0.739,-0.006445,1.7879,5.0585
46,3,2.2313,1.067464,0.5299,0.4558,0.5299,0.4548,0.7202,-0.028042,1.7596,4.947
46,4,2.3408,1.023213,0.5405,0.4815,0.5405,0.4809,0.7477,-0.026048,1.8502,5.4152
47,1,2.2975,1.0155,0.5563,0.4787,0.5563,0.4856,0.741,-0.015028,1.8446,5.2888
47,2,2.2268,1.005949,0.5687,0.5286,0.5687,0.5024,0.74,-0.027141,1.7898,5.0755
47,3,2.2007,1.02804,0.544,0.4767,0.544,0.4678,0.7417,-0.035482,1.7662,4.9369
47,4,2.3313,1.032519,0.5211,0.4499,0.5211,0.4646,0.7498,-0.012615,1.8436,5.3618
48,1,2.3339,1.048323,0.5423,0.4583,0.5423,0.4758,0.7179,-0.00714,1.8531,5.3335
48,2,2.2414,1.043772,0.5511,0.4988,0.5511,0.4879,0.7318,-0.005317,1.7864,5.0357
48,3,2.1887,0.998859,0.5775,0.524,0.5775,0.5123,0.7628,-0.01831,1.7631,4.9649
48,4,2.3413,1.017187,0.5669,0.5155,0.5669,0.5187,0.7524,-0.026605,1.852,5.431
49,1,2.3269,1.026071,0.5634,0.4965,0.5634,0.5149,0.732,-0.024566,1.862,5.3623
49,2,2.2137,1.008243,0.5581,0.4818,0.5581,0.4956,0.7411,-0.008874,1.7851,5.0264
49,3,2.1796,0.989067,0.5563,0.4928,0.5563,0.4951,0.7758,-0.023517,1.7688,4.9575
49,4,2.3289,0.979707,0.5775,0.5196,0.5775,0.5307,0.7709,-0.00318,1.858,5.4769
50,1,2.2941,0.982405,0.581,0.5175,0.581,0.538,0.7612,-0.033395,1.8608,5.3547
50,2,2.2098,0.998646,0.5757,0.5253,0.5757,0.5186,0.7441,-0.014439,1.791,5.0357
50,3,2.2034,1.007774,0.5616,0.519,0.5616,0.5016,0.7513,-0.017514,1.7729,4.9933
50,4,2.304,0.977912,0.5775,0.5293,0.5775,0.5374,0.772,-0.010392,1.8494,5.3982
51,1,2.255,0.947402,0.5863,0.5305,0.5863,0.547,0.7759,0.000997,1.8486,5.3059
51,2,2.1977,0.956068,0.5986,0.5493,0.5986,0.5562,0.7621,-0.031722,1.7921,5.095
51,3,2.1553,0.962066,0.5845,0.5314,0.5845,0.5332,0.7658,-0.002606,1.7617,4.9394
