Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
29,2,2.3059,1.155116,0.4683,0.3499,0.4683,0.3986,0.6219,-0.020024,1.7728,4.991
29,3,2.3047,1.189802,0.4489,0.3295,0.4489,0.3767,0.5985,-0.012514,1.7539,4.9062
29,4,2.4224,1.153909,0.4859,0.3616,0.4859,0.4127,0.6332,0.007173,1.8463,5.3822
30,1,2.4111,1.171847,0.463,0.3432,0.463,0.394,0.6224,-0.027515,1.8467,5.3029
30,2,2.3231,1.156999,0.4577,0.3408,0.4577,0.3894,0.6319,0.001074,1.7837,5.044
30,3,2.2983,1.175845,0.4454,0.3311,0.4454,0.374,0.6273,-0.010867,1.7546,4.9173
30,4,2.4208,1.162914,0.4683,0.3412,0.4683,0.3948,0.6129,-0.003267,1.8393,5.3558
31,1,2.4111,1.179976,0.4683,0.3471,0.4683,0.3985,0.6019,-0.017868,1.8419,5.2836
31,2,2.3271,1.16083,0.4718,0.3483,0.4718,0.4002,0.6154,-0.010958,1.7866,5.0483
31,3,2.278,1.163266,0.4701,0.3374,0.4701,0.3925,0.6389,-0.001425,1.7487,4.8792
31,4,2.405,1.154469,0.4718,0.3652,0.4718,0.4046,0.6315,-0.001573,1.8386,5.3231
32,1,2.3966,1.167453,0.4754,0.3545,0.4754,0.4056,0.6317,0.001239,1.8432,5.2644
32,2,2.3125,1.153683,0.4789,0.3546,0.4789,0.4066,0.6312,-0.023109,1.7782,5.0164
32,3,2.3005,1.175484,0.4542,0.3319,0.4542,0.3798,0.604,-0.019814,1.7587,4.9254
32,4,2.4195,1.160689,0.4454,0.3342,0.4454,0.3802,0.6314,-0.01744,1.8391,5.3567
33,1,2.3932,1.152143,0.4877,0.36,0.4877,0.4142,0.6346,-0.011777,1.8459,5.289
33,2,2.3243,1.163119,0.4718,0.3556,0.4718,0.4019,0.6127,-0.018006,1.7818,5.0338
33,3,2.2859,1.156979,0.4648,0.3444,0.4648,0.391,0.6458,-0.013879,1.7541,4.92
33,4,2.3964,1.137633,0.4771,0.3719,0.4771,0.4091,0.656,-0.006128,1.8422,5.3336
34,1,2.388,1.145053,0.4824,0.3523,0.4824,0.4058,0.6349,-0.001637,1.8446,5.2881
34,2,2.3004,1.148547,0.4789,0.3642,0.4789,0.4079,0.6232,-0.003184,1.7741,4.9881
34,3,2.303,1.178978,0.4525,0.3276,0.4525,0.3786,0.6154,-0.007808,1.7559,4.9256
34,4,2.4269,1.161652,0.4736,0.3643,0.4736,0.4052,0.6211,-0.012983,1.8465,5.379
35,1,2.3931,1.140128,0.4947,0.3701,0.4947,0.4223,0.646,-0.017769,1.8484,5.3168
35,2,2.321,1.156687,0.4877,0.3682,0.4877,0.4156,0.6369,-0.02147,1.7865,5.0378
